legislator_name                    , Party      , 2018-01, 2018-03, 2018-04, 2018-05, 2018-06 , 2018-07 , 2018-08 , 2018-10 , 2018-11 , 2018-12  , 2019-01  , 2019-02   , 2019-03   , 2019-04   , 2019-05   , 2019-06   , 2019-07   , 2019-08   , 2019-09   , 2019-10             , 2019-11   , 2019-12            , 2020-01            , 2020-02            , 2020-03             , 2020-04             , 2020-05            , 2020-06            , 2020-07             , 2020-08             , 2020-09             , 2020-10             , 2020-11             , 2020-12     , 2021-01             , 2021-02             , 2021-03             , 2021-04             , 2021-05             , 2021-06             , 2021-07             , 2021-08             , 2021-09             , 2021-10             , 2021-11             , 2021-12             , 2022-01             , 2022-02             , 2022-03             , 2022-04             , 2022-05             , 2022-06             , 2022-07             , 2022-08             , 2022-09             , 2022-10     , 2022-11     , 2022-12     , 2023-01     , 2023-02     , 2023-03     , 2023-04     , 2023-05     , 2023-06     , 2023-07     , 2023-08     , 2023-09     , 2023-10     , 2023-11             , 2023-12     , 2024-01     , 2024-02     , 2024-03     , 2024-04     , 2024-05     , 2024-06     , 2024-07     , 2024-08     , 2024-09     , 2024-10     , 2024-11     , 2024-12     , 2025-01     , 2025-02     , 2025-03     , 2025-04     , 2025-05     , 2025-06     , 2025-07     , 2025-08     , 2025-09     , 2025-10     , 2025-11     , 2025-12     , 2026-01     , 2026-02     , 2026-03
A. Mitchell Mcconnell Jr.          , Republican ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,     8000.5          ,     8000.5          ,     8000.5         ,     8000.5         ,      8000.5         ,      8000.5         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0 ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0         ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0         ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0 ,     16001.0
Adam Kinzinger                     , Republican ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,    56003.5          ,    64004.0         ,    96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0 ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0         ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0         ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0 ,     96006.0
Adam Smith                         , Democrat   ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,        0.0          ,        0.0         ,        0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0         ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5
Adrian Smith                       , Republican ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,        0.0          ,        0.0         ,        0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,      8000.5         ,      8000.5         ,      8000.5         ,      8000.5         ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5         ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5 ,      8000.5
Alan S. Lowenthal                  , Democrat   ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,   32500.5 ,   32500.5 ,   32500.5 ,   32500.5 ,   32500.5 ,   32500.5           ,   32500.5 ,   65001.0          ,   99338.45         ,   261888.82        ,   345497.54000000004,   510435.07000000007,   536762.8700000001,   701872.0100000001,    827113.4300000002,    852890.0000000001,    879224.5400000002,    954028.8100000002,   1133745.4100000001,   1215285.32,   1234989.6600000001,   1364949.4600000002,   1437452.4600000002,   1437452.4600000002,   1453453.4600000002,   1493954.4600000002,   1501954.9600000002,   1614958.9600000002,   1679959.9600000002,   1687960.4600000002,   1703961.4600000002,   1784963.4600000002,   1825464.4600000002,   1873965.9600000002,   1938468.4600000002,   1978969.4600000002,   2010971.4600000002,   2034972.9600000002,   2042973.4600000002,   2075473.9600000002,   2083474.4600000002,   2116974.6 ,   2181477.1 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6         ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6 ,   2205478.6
Andrew Garbarino                   , Republican ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,        0.0          ,        0.0         ,        0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0         ,         0.0         ,         0.0         ,     16001.0         ,     16001.0         ,     32002.0         ,     32002.0         ,     32002.0         ,     32002.0         ,     48003.0         ,     48003.0         ,     48003.0         ,     56003.5         ,     56003.5         ,     56003.5         ,     56003.5         ,     56003.5         ,     56003.5         ,     56003.5         ,     56003.5         ,     56003.5         ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5         ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5 ,     56003.5
Angus S King Jr.                   , Independent,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,        0.0          ,        0.0         ,        0.0         ,         0.0         ,     32002.0         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5 ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5         ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5         ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5 ,     64502.5
Ann Wagner                         , Republican ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,        0.0          ,        0.0         ,        0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0         ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,    350001.0 ,    350001.0 ,    350001.0 ,    350001.0
Anna Paulina Luna                  , Republican ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,        0.0          ,        0.0         ,        0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0         ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0         ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,         0.0 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5 ,    175000.5
Anthony E. Gonzalez                , Republican ,     0.0,     0.0,     0.0,     0.0,      0.0,      0.0,      0.0,      0.0,      0.0,       0.0,       0.0,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0 ,       0.0           ,       0.0 ,       0.0          ,       0.0          ,        0.0         ,        0.0          ,        0.0          ,        0.0         ,        0.0         ,         0.0         ,         0.0         ,      8000.5         ,      8000.5         ,      8000.5         ,      8000.5 ,      8000.5         ,      8000.5         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0         ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0         ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0 ,     40501.0
