chamber, legislator_name                   , disclosure_date, transaction_date, ticker, asset_description, asset_type, transaction_type, amount_range, owner, ptr_link                                                                  , comment                                                     , transaction_year, disclosure_year, filing_type , office
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016985.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2020,            2020, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017164.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2020,            2020, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018021.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2021,            2021, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018393.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2021,            2021, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018530.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2021,            2021, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018703.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2021,            2021, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018906.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2021,            2021, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019561.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2021,            2021, ptr original, GA12
House  , "Aderholt, Hon.. Robert B."       ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021740.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2022,            2022, ptr original, AL04
House  , "Aderholt, Hon.. Robert B."       ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20022132.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2022,            2022, ptr original, AL04
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024277.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2024,            2024, ptr original, GA12
